OWNER,COLUMN_NAME,TABLE_NAME,DATA_TYPE,DATA_LENGTH,NULLABLE
FUSION,Id,TAX_EQX_GLOBAL_EINVOICE,NUMERIC,120,Y
FUSION,RowType,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,7,Y
FUSION,RecordName,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,120,Y
FUSION,CreationDate,TAX_EQX_GLOBAL_EINVOICE,TIMESTAMP,22,Y
FUSION,CurcyConvRateType,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,CurrencyCode,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,CorpCurrencyCode,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,LastUpdatedBy,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,4,Y
FUSION,CreatedBy,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,RecordNumber,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,LastUpdateDate,TAX_EQX_GLOBAL_EINVOICE,TIMESTAMP,22,Y
FUSION,LastUpdateLogin,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,120,N
FUSION,Attribute1_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,Attribute2_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,N
FUSION,Attribute3_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,Attribute4_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,Attribute5_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,Attribute6_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,7,Y
FUSION,Attribute7_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,7,Y
FUSION,Attribute8_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,4,Y
FUSION,Attribute9_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,Attribute10_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,120,Y
FUSION,Attribute11_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,Attribute12_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,Attribute13_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,4,Y
FUSION,Attribute14_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,Attribute15_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,Attribute16_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,Attribute17_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,Attribute18_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,Attribute19_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,Attribute20_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,4,Y
FUSION,BusinessUnit_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,Cancel_ErrorMsg_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,CancelCategory_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,CancelReason_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,ReceiptReversalStatus_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,Country_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,CreatedBy_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,120,Y
FUSION,CreationDate_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,120,N
FUSION,CustomerNumber_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,N
FUSION,DigitalSignature_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,120,Y
FUSION,Dispute_Reversal_ErrorMsg_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,Dispute_Reversal_Flag_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,N
FUSION,EInvoiceErrorMsg_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,EInvoiceStatus_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,EReceiptStatus_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,LegalEntityId_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,7,Y
FUSION,OrgId_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,OriginalString_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,60,Y
FUSION,QRCode_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,ReversalErrorMsg_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,SATDigitalSignature_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,TransactionID_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,TransactionNumber_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,Type_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,7,Y
FUSION,UUID_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,11,N
FUSION,PreviousTransactionId_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,120,Y
FUSION,PDF_IN_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,StatusDescription_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,ErrorCode_c,TAX_EQX_GLOBAL_EINVOICE,NUMERIC,22,Y
FUSION,StatusCode_c,TAX_EQX_GLOBAL_EINVOICE,NUMERIC,22,Y
FUSION,OICInstanceId_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,4,Y
FUSION,RICEID_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,4,Y
FUSION,SourceID_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,4,Y
FUSION,TransactionFlag_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,TransactionDate_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,FileTransfferedDate_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,600,Y
FUSION,XML_Filename_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
FUSION,PDF_Filename_c,TAX_EQX_GLOBAL_EINVOICE,VARCHAR,22,Y
