SOURCE_TABLE_NAME,BIP_REPORT,MODULE
FUSION_FAS52_REPORT,"/Custom/FUSION_BIP_EXTRACT/FUSION_FAS52_REPORT.xdo",GL
GL_BALANCE_BIP_REPORT,"/Custom/FUSION_BIP_EXTRACT/GL_BALANCE_BIP_REPORT.xdo",GL
GL_BALANCES_ROWCOUNT_LUD_REPORT,"/Custom/FUSION_BIP_EXTRACT/GL_BALANCES_ROWCOUNT_LUD_REPORT.xdo",GL
GL_DAILY_RATES_REPORT,"/Custom/FUSION_BIP_EXTRACT/GL_DAILY_RATES_REPORT.xdo",GL
GL_PERIODS_REPORT,"/Custom/FUSION_BIP_EXTRACT/GL_PERIODS_REPORT.xdo",GL
GL_SEG_VALUES_HIER_REPORT,"/Custom/FUSION_BIP_EXTRACT/GL_SEG_VALUES_HIER_REPORT.xdo",GL
GL_SRC_ROW_COUNTS_REPORT,"/Custom/FUSION_BIP_EXTRACT/GL_SRC_ROW_COUNTS_REPORT.xdo",GL
GL_TRANSLATION_RATES_REPORT,"/Custom/FUSION_BIP_EXTRACT/GL_TRANSLATION_RATES_REPORT.xdo",GL
HR_LOCATIONS_REPORT,"/Custom/FUSION_BIP_EXTRACT/HR_LOCATIONS_REPORT.xdo",GL
JOURNAL_BATCH_ATTACHMENT_REPORT,"/Custom/FUSION_BIP_EXTRACT/JOURNAL_BATCH_ATTACHMENT_REPORT.xdo",GL
JOURNAL_HEADER_ATTACHMENT_REPORT,"/Custom/FUSION_BIP_EXTRACT/JOURNAL_HEADER_ATTACHMENT_REPORT.xdo",GL
ORACLE_RECON_REPORT,"/Custom/FUSION_BIP_EXTRACT/ORACLE_RECON_REPORT.xdo",GL
PER_USER_PERSON_NAME_REPORT,"/Custom/FUSION_BIP_EXTRACT/PER_USER_PERSON_NAME_REPORT.xdo",GL
SEGMENT_HIERARCHY_REPORT,"/Custom/FUSION_BIP_EXTRACT/SEGMENT_HIERARCHY_REPORT.xdo",GL
SEGMENT_HIERARCHY_VLAIDATION_REPORT,"/Custom/FUSION_BIP_EXTRACT/SEGMENT_HIERARCHY_VLAIDATION_REPORT.xdo",GL
SEGMENT_MASTER_REPORT,"/Custom/FUSION_BIP_EXTRACT/SEGMENT_MASTER_REPORT.xdo",GL
DAILY_RATE_EXTRACT_REPORT,"/Custom/FUSION_BIP_EXTRACT/DAILY_RATE_EXTRACT_REPORT.xdo",GL
IDQ_FC_REPORT,"/Custom/FUSION_BIP_EXTRACT/IDQ - FC REPORT.xdo",GL
IDQ_RECON_REPORT,"/Custom/FUSION_BIP_EXTRACT/IDQ RECON REPORT.xdo",GL
IDQ_TC_REPORT,"/Custom/FUSION_BIP_EXTRACT/IDQ - TC REPORT.xdo",GL
